id,name,address,num_use,day_use,num_use1,num_use2,num_use3,num_use4,num_use5,lon,lat,urls,num_fast,num_level2,充电桩数量,config_fast,config_level2,service_provider,acessibility,operator,status,others,payment_method,power_price,service_price,parking_price,gaode_lon,gaode_lat
322,龙岗平湖智创谷充电,广东省深圳市龙岗区平湖街道南方和顺汽车充电站(宝能智创谷),491,245.5,,1000,,,,114.1307563,22.70351011,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=38118,0,40,40,-1,-1,南方和顺,社会开放,南方电网,已建成已测试,地下,顺易充App,,,,114.135833,22.700827
60,深圳寰宇大酒店,广东省深圳市罗湖区广东省深圳市罗湖区红岭中路环宇大厦一楼,489,244.5,,1000,,,,114.1003407,22.54718327,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=10041,0,1,1,-1,-1,,社会开放,充电队长,已建成已测试,其他,充电网APP,计费时段 :00:00-24:00;电费: 1.26,计费时段 :00:00-24:00;服务费: 0.6,,114.105458,22.544501
307,龙华花园新村充电站,广东省深圳市龙华区龙华街道联康五路10号花园新村(花园路),471,235.5,,1000,,,,114.0142438,22.66391982,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=38015,0,1,1,-1,-1,中天昱品,社会开放,南方电网,已建成已测试,地面,顺易充App,,,免费,114.019294,22.661127
116,市二院,福田区笋岗路深圳市二医院,464,232,,1000,,,,114.0954065,22.55688949,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=12042,10,0,10,-1,-1,其他,社会开放,普天,已建成未测试,其他,普天充电卡,,不详,不详,114.100529,22.554209
193,深圳旭生大厦充电站,广东省深圳市宝安区旭生大厦,459,229.5,,1000,,,,113.8586773,22.58684143,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=21838,0,6,6,-1,M11002B/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,,"0:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电","不免费,以场站方公告为准",113.863603,22.583821
142,龙珠军苑充电站,广东省深圳市桃源街道龙苑路11号龙珠军苑地上停车场,451,225.5,,1000,,,,113.9823979,22.56295698,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=12808,2,3,5,60kW,7kW,广东粤凯,社会开放,华南充电,已建成已测试,地面,微信,1.6 元/度,免费,5元/小时,113.987362,22.560053
395,青禾万众城充电站交流,深圳市龙华区民治大道490号,441,220.5,,1000,,,,114.0333307,22.63107895,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=42074,0,49,49,-1,未配置/1666/1666/100.0,深圳致联,公共,深圳致联,已建成已测试,其他,,,,不详,114.03842,22.628331
113,星河国际,深圳市福华三路269号,435,217.5,,1000,,,,114.0490055,22.53435483,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=12038,0,5,5,-1,-1,其他,社会开放,普天,已建成未测试,其他,普天充电卡,,不详,不详,114.054114,22.53163
332,莲花山汽车充电站,广东省深圳市福田区梅林街道奥士达路2-11号凯丰社区公园,432,216,,1000,,,,114.058138,22.56708258,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=38159,0,41,41,-1,-1,南方电力集团,社会开放,南方电网,已建成已测试,地面,顺易充App,谷:0.2801 平:0.7241 峰:1.0766,,免费,114.063259,22.564376
26,深圳朗山酒店充电站,广东省深圳市南山区松坪山路7-2朗山酒店停车场,423,211.5,,1000,,,,113.9457703,22.55918987,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=6792,0,12,12,-1,未配置/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,电费:00:00~24:00:1.2000,服务费:00:00~24:00:0.7000元/度电,,113.950658,22.55619
72,深圳金沙摩尔充电站,广东省深圳市龙岗区四联路54号,410,205,,1000,,,,114.1993267,22.65028255,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=10642,0,28,28,-1,M11002B/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,,"0:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电",,114.204225,22.647468
228,深圳和成世纪名园充电站,深圳市龙岗区布龙路与五和大道交汇处东南侧,405,202.5,,1000,,,,114.0554835,22.6297323,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=24664,0,75,75,-1,-1,,公共,云杉智慧,已建成已测试,其他,微信；支付宝；其他,固定收费：1.1元/度,固定收费：0.8元/度元/度电,首小时5元，最高15元,114.060606,22.62703
30,深圳七巧国充电站,广东省深圳市宝安区兴业路3003-7,388,194,,1000,,,,113.8512664,22.5708271,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=7983,4,10,14,M11005C/500/500/60.0,M11002B/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,,"0:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电",,113.856208,22.567816
242,大浪充电站,深圳市建辉路（三联村口公交站，128个快充）,385,192.5,,1000,,,,114.0216341,22.67380879,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=25395,117,0,117,未配置/400/400/60.0,-1,深圳致联,公共,深圳致联,已建成已测试,其他,,,,不详,114.026702,22.671039
175,深圳同富村工业园充电站,广东省深圳市龙华区同富邨工业园泰松工业园,363,181.5,,1000,,,,113.9934881,22.70171901,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=18803,6,0,6,M11006C/750/750/150.0,-1,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,,"0:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电",,113.998489,22.698873
226,深圳彩悦大厦充电站,深圳市龙华区留仙大道24号彩悦大厦地面停车场,359,179.5,,1000,,,,114.0277456,22.61811125,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=24651,1,14,15,-1,-1,,公共,云杉智慧,已建成已测试,其他,微信；支付宝；其他,固定收费：0.92元/度,固定收费：0.8元/度元/度电,第一个小时5元，后3元/小时,114.032823,22.615347
324,龙岗布吉名城国际广场充电站,广东省深圳市龙岗区布吉街道名城国际广场,358,179,,1000,,,,114.1352949,22.62094225,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=38127,0,2,2,-1,-1,中天昱品,社会开放,南方电网,已建成已测试,地面,顺易充App,,,,114.140356,22.618235
168,深圳汇聚创新园充电站,广东省深圳市宝安区留仙大道2号,356,178,,1000,,,,113.9224888,22.58524216,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=18307,0,13,13,-1,未配置/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,,"0:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电",,113.927354,22.582207
199,鹤洲充电站,广东省深圳市宝安区西乡街道致联新能源汽车充电站鹤洲站,342,171,,1000,,,,113.8570469,22.63091555,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=23745,40,63,103,DC60kW~160kW,AC380V/63A/42kW,北京智充,社会开放,致联新能源,已建成已测试,地面,致联新能源APP,0.24元/度~1.04元/度,0.21~0.66元/度电,免费,113.861979,22.627904
353,深圳光明兆恒工业园充电站 二期,深圳市光明新区公明街道根玉路田寮村模具产业基地7号兆恒工业园南区A座一层,321,160.5,,1000,,,,113.8872673,22.72669278,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=39108,5,13,18,DH-DC1200SG30-B/1000/1000/120.0,DH-AC0070XG30-C/253/253/7.0,星星充电,公共,星星充电,已建成已测试,其他,,,,不详,113.892153,22.723674
6,中海凯丽充电点,中国广东省深圳市龙岗区大运路168,319,159.5,,1000,,,,114.2099126,22.70589416,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=2200,0,3,3,-1,-1,其他,社会开放,腾势,已建成未测试,地下,充电网APP,安标准收取,安标准收取元/度电,安标准收取,114.214792,22.703078
