charingId,name,address,lon,lat,lon_gaode,lat_gaode,url,num_fast,num_slow,num_pile,service_provider,accessibility,operator,status,others,payment_method,power_price,service_price,parking_price,open_time,provider_fast,provider_slow,config_fast,config_slow
160158,皇庭香格里,广东省深圳市南山区桃源街道龙珠六路31号,113.9756211,22.56431262,113.980557,22.561375,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160158,0,5,5,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，最高10元。,不对外开放,,,,
160159,皇庭彩园,广东省深圳市福田区福田街道水围街68号,114.0567207,22.52358773,114.061833,22.520868,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160159,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160160,皇庭居,广东省深圳市福田区福田街道福民路2-6号,114.0627016,22.52623218,114.06782,22.523521,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160160,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,第一小时5元，第二小时1元/小时，每天最高10元,00:00-24:00,,,,
160161,皇庭世纪,广东省深圳市福田区福田街道益田路3004号,114.0520508,22.52837527,114.057157,22.525647,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160161,0,15,15,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160182,金鼎大厦,广东省深圳市罗湖区南湖街道东门南路68号,114.1193107,22.54411204,114.124409,22.541421,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160182,0,12,12,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时15元，第二小时起3元/小时，全天最高60元,全天,,,,
160183,峰度天下,广东省深圳市罗湖区黄贝街道延芳路528号,114.1491818,22.54571749,114.154216,22.542988,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160183,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首3小时5元，超1小时加1元，10元封顶。,08:30-17:30,,,,
160184,怡龙枫景园,广东省深圳市龙岗区龙岗街道建发路8号,114.2692951,22.72755732,114.274126,22.724732,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160184,0,35,35,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,1小时内5元，10元封顶。,不对外开放,,,,
160185,天健时尚空间名苑,广东省深圳市宝安区新安街道海秀路18-20号,113.884554,22.55266665,113.889438,22.549621,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160185,0,2,2,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首三小时5元，第四小时每小时加一元，每天最高收费10元。,全天,,,,
160428,芷峪澜湾花园,广东省深圳市龙华区福城街道观澜大道100号,114.0365463,22.69640943,114.041636,22.693672,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160428,0,28,28,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首3小时5元，第4个小时1元/小时，每天最高收费1/元,00:00-24:00,,,,
160429,香逸名园,广东省深圳市福田区莲花街道香梅路香梅路6-5号,114.0314552,22.55477688,114.036526,22.552001,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160429,0,5,5,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,半小时内免费，最高收费10元,全天,,,,
160430,清湖花半里,广东省深圳市龙华区龙华街道石清大道200号,114.0430759,22.67518305,114.048176,22.672456,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160430,0,5,5,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,00:00-24:00,,,,
90704,好景豪园-1,深圳市福田区沙嘴路2号好景豪园地面停车场西向东第1到第12个车位,114.0298831,22.52159876,114.034949,22.518818,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90704,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
160431,好景豪园-2,广东省深圳市福田区沙头街道沙嘴路151号,114.0304001,22.52205076,114.035466,22.51927,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160431,0,1,1,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160432,福园小区,广东省深圳市南山区南山街道向南路51号,113.9128116,22.50905176,113.91767,22.506,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160432,0,12,12,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,全天,,,,
160434,南山花园,广东省深圳市南山区南山街道前海路0118号,113.8912802,22.50109298,113.896152,22.49804,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160434,0,2,2,,公共,依威能源,关闭中,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,全天,,,,
160435,天健现代城,广东省深圳市龙岗区龙城街道清林路442号,114.2146746,22.72255906,114.219555,22.719749,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160435,0,3,3,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首3小时5元，第四小时起1元/小时，一天最高10元,不对外开放,,,,
160437,阳光天健城二期,广东省深圳市龙岗区龙城街道日丽路63-1号,114.2164103,22.7022906,114.221287,22.699472,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160437,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首3小时5元，第四小时起1元/小时，一天最高10元,不对外开放,,,,
160438,香林玫瑰花园,广东省深圳市龙岗区龙城街道愉龙路18号,114.2189722,22.72310716,114.223844,22.720291,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160438,0,9,9,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,1小时内5元，10元封顶。,不对外开放,,,,
160439,深业御园,广东省深圳市坪山区坑梓街道锦绣东路22号,114.3954739,22.7425946,114.40043,22.739953,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160439,0,21,21,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首3小时5元，超1小时加1元，10元封顶。,00:00-24:00,,,,
160440,特发小区,广东省深圳市福田区香蜜湖街道香梅路27号,114.0270407,22.55633787,114.032103,22.553551,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160440,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160442,福田星河COCOPark,广东省深圳市福田区福田街道福华三路262号,114.0496691,22.53486076,114.054771,22.532127,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160442,0,13,13,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时15元，每加一小时加5元，60元封顶,00:00-24:00,,,,
160443,东景花园,广东省深圳市福田区莲花街道新闻路4号,114.0434436,22.54466097,114.048537,22.541915,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160443,0,13,13,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,半小时内免费，最高收费10元,00:00-24:00,,,,
160444,宝荷欣苑,广东省深圳市龙岗区宝龙街道宝荷路89号,114.2704051,22.69110025,114.275233,22.688267,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160444,0,8,8,,公共,依威能源,关闭中,其他,其他,不详,不详元/度电,首三小时5元，超过三小时10元,00:00-24:00,,,,
160445,美杜兰华庭,广东省深圳市龙岗区布吉街道长龙路12-9号,114.1119623,22.61191422,114.117077,22.609236,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160445,0,9,9,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,半小时免费，半小时至一小时10元，之后2元/小时，全天最高40元,全天,,,,
